,No source in $2 with unapproved $1,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
661,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,graphic novelization of expression|is graphic novelization of expression,,,,http://rdaregistry.info/Elements/e/P20256,is graphic novelization of expression,,,,,
662,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,subject expression of|is subject expression of,,,,http://rdaregistry.info/Elements/e/P20268,is subject expression of,,,,,
663,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,expression described in|is expression described in,,,,http://rdaregistry.info/Elements/e/P20269,is expression described in,,,,,
664,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,expression analysed in|is expression analysed in,,,,http://rdaregistry.info/Elements/e/P20270,is expression analysed in,,,,,
665,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,expression commentary in|is expression commentary in,,,,http://rdaregistry.info/Elements/e/P20271,is expression commentary in,,,,,
666,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,expression critiqued in|is expression critiqued in,,,,http://rdaregistry.info/Elements/e/P20272,is expression critiqued in,,,,,
667,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,expression evaluated in|is expression evaluated in,,,,http://rdaregistry.info/Elements/e/P20273,is expression evaluated in,,,,,
668,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,expression reviewed in|is expression reviewed in,,,,http://rdaregistry.info/Elements/e/P20274,is expression reviewed in,,,,,
669,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,oratorio adaptation of expression|is oratorio adaptation of expression,,,,http://rdaregistry.info/Elements/e/P20281,is oratorio adaptation of expression,,,,,
670,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,adapted as oratorio expression|is adapted as oratorio expression,,,,http://rdaregistry.info/Elements/e/P20282,is adapted as oratorio expression,,,,,
671,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,,,,,http://rdaregistry.info/Elements/e/P20319,aggregates,,,,,
672,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,aggregated by|is aggregated by,,,,http://rdaregistry.info/Elements/e/P20320,is aggregated by,,,,,
673,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,source expression|has source expression,,,,http://rdaregistry.info/Elements/e/P20574,has source expression,,,,,
674,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,derivative expression|has derivative expression,,,,http://rdaregistry.info/Elements/e/P20575,has derivative expression,,,,,
675,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,manifestation described in|is manifestation described in,,,,http://rdaregistry.info/Elements/m/P30254,is manifestation described in,,,,,
676,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,manifestation analysed in|is manifestation analysed in,,,,http://rdaregistry.info/Elements/m/P30255,is manifestation analysed in,,,,,
677,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,manifestation commentary in|is manifestation commentary in,,,,http://rdaregistry.info/Elements/m/P30256,is manifestation commentary in,,,,,
678,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,manifestation critiqued in|is manifestation critiqued in,,,,http://rdaregistry.info/Elements/m/P30257,is manifestation critiqued in,,,,,
679,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,manifestation evaluated in|is manifestation evaluated in,,,,http://rdaregistry.info/Elements/m/P30258,is manifestation evaluated in,,,,,
680,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,manifestation reviewed in|is manifestation reviewed in,,,,http://rdaregistry.info/Elements/m/P30259,is manifestation reviewed in,,,,,
681,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,subject item of|is subject item of,,,,http://rdaregistry.info/Elements/i/P40061,is subject item of,,,,,
682,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,item described in|is item described in,,,,http://rdaregistry.info/Elements/i/P40062,is item described in,,,,,
683,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,item analysed in|is item analysed in,,,,http://rdaregistry.info/Elements/i/P40063,is item analysed in,,,,,
684,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,item commentary in|is item commentary in,,,,http://rdaregistry.info/Elements/i/P40064,is item commentary in,,,,,
685,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,item critiqued in|is item critiqued in,,,,http://rdaregistry.info/Elements/i/P40065,is item critiqued in,,,,,
686,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,item evaluated in|is item evaluated in,,,,http://rdaregistry.info/Elements/i/P40066,is item evaluated in,,,,,
687,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,d,Date of treaty signing (R),,,,item reviewed in|is item reviewed in,,,,http://rdaregistry.info/Elements/i/P40067,is item reviewed in,,,,,
688,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,dramatized as work|is dramatized as work,,,,http://rdaregistry.info/Elements/w/P10016,is dramatized as work,,,,,
689,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,part of work|is part of work,,,,http://rdaregistry.info/Elements/w/P10019,is part of work,,,,,
690,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,adapted in verse as work|is adapted in verse as work,,,,http://rdaregistry.info/Elements/w/P10023,is adapted in verse as work,,,,,
691,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,adapted as motion picture work|is adapted as motion picture work,,,,http://rdaregistry.info/Elements/w/P10025,is adapted as motion picture work,,,,,
692,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,cadenza work|has cadenza work,,,,http://rdaregistry.info/Elements/w/P10026,has cadenza work,,,,,
693,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,variations based on work|is variations based on work,,,,http://rdaregistry.info/Elements/w/P10027,is variations based on work,,,,,
694,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,modified by variation as work|is modified by variation as work,,,,http://rdaregistry.info/Elements/w/P10028,is modified by variation as work,,,,,
695,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,cadenza composed for work|is cadenza composed for work,,,,http://rdaregistry.info/Elements/w/P10029,is cadenza composed for work,,,,,
696,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,libretto for work|is libretto for work,,,,http://rdaregistry.info/Elements/w/P10030,is libretto for work,,,,,
697,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,incidental music work|has incidental music work,,,,http://rdaregistry.info/Elements/w/P10031,has incidental music work,,,,,
698,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,remade as work|is remade as work,,,,http://rdaregistry.info/Elements/w/P10032,is remade as work,,,,,
699,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,set to music as work|is set to music as work,,,,http://rdaregistry.info/Elements/w/P10033,is set to music as work,,,,,
700,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,adapted as novel work|is adapted as novel work,,,,http://rdaregistry.info/Elements/w/P10034,is adapted as novel work,,,,,
701,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,adapted as radio program work|is adapted as radio program work,,,,http://rdaregistry.info/Elements/w/P10076,is adapted as radio program work,,,,,
702,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,subseries|has subseries,,,,http://rdaregistry.info/Elements/w/P10080,has subseries,,,,,
703,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,adapted as television program work|is adapted as television program work,,,,http://rdaregistry.info/Elements/w/P10085,is adapted as television program work,,,,,
704,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,adapted as video work|is adapted as video work,,,,http://rdaregistry.info/Elements/w/P10087,is adapted as video work,,,,,
705,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,abstracted in work|is abstracted in work,,,,http://rdaregistry.info/Elements/w/P10089,is abstracted in work,,,,,
706,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,indexed in work|is indexed in work,,,,http://rdaregistry.info/Elements/w/P10090,is indexed in work,,,,,
707,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,adapted as choreography work|is adapted as choreography work,,,,http://rdaregistry.info/Elements/w/P10091,is adapted as choreography work,,,,,
708,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,errata work|has errata work,,,,http://rdaregistry.info/Elements/w/P10092,has errata work,,,,,
709,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,illustrations work|has illustrations work,,,,http://rdaregistry.info/Elements/w/P10093,has illustrations work,,,,,
710,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,adapted as motion picture screenplay work|is adapted as motion picture screenplay work,,,,http://rdaregistry.info/Elements/w/P10094,is adapted as motion picture screenplay work,,,,,
711,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,adapted as screenplay work|is adapted as screenplay work,,,,http://rdaregistry.info/Elements/w/P10095,is adapted as screenplay work,,,,,
712,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,adapted as television screenplay work|is adapted as television screenplay work,,,,http://rdaregistry.info/Elements/w/P10096,is adapted as television screenplay work,,,,,
713,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,adapted as video screenplay work|is adapted as video screenplay work,,,,http://rdaregistry.info/Elements/w/P10097,is adapted as video screenplay work,,,,,
714,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,adapted as radio script work|is adapted as radio script work,,,,http://rdaregistry.info/Elements/w/P10098,is adapted as radio script work,,,,,
715,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,freely translated as work|is freely translated as work,,,,http://rdaregistry.info/Elements/w/P10099,is freely translated as work,,,,,
716,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,description of work|is description of work,,,,http://rdaregistry.info/Elements/w/P10100,is description of work,,,,,
717,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,subseries of|is subseries of,,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,
718,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,issue of|is issue of,,,,http://rdaregistry.info/Elements/w/P10102,is issue of,,,,,
719,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,complemented by work|is complemented by work,,,,http://rdaregistry.info/Elements/w/P10103,is complemented by work,,,,,
720,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,screenplay for work|is screenplay for work,,,,http://rdaregistry.info/Elements/w/P10105,is screenplay for work,,,,,
721,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,incidental music for work|is incidental music for work,,,,http://rdaregistry.info/Elements/w/P10106,is incidental music for work,,,,,
722,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,abstracted as work|is abstracted as work,,,,http://rdaregistry.info/Elements/w/P10107,is abstracted as work,,,,,
723,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,augmented by work|is augmented by work,,,,http://rdaregistry.info/Elements/w/P10108,is augmented by work,,,,,
724,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,summarized as work|is summarized as work,,,,http://rdaregistry.info/Elements/w/P10109,is summarized as work,,,,,
725,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,catalogue work|has catalogue work,,,,http://rdaregistry.info/Elements/w/P10110,has catalogue work,,,,,
726,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,concordance work|has concordance work,,,,http://rdaregistry.info/Elements/w/P10111,has concordance work,,,,,
727,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,addenda work|has addenda work,,,,http://rdaregistry.info/Elements/w/P10112,has addenda work,,,,,
728,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,f,Date of a work (NR),,,,adapted as libretto work|is adapted as libretto work,,,,http://rdaregistry.info/Elements/w/P10113,is adapted as libretto work,,,,,
